geneID	Chr	Strand	Gene.name	Gene.type	Description	NExons	gene.LR	P.Value	FDR
ENSG00000099622	19	+	CIRBP	protein_coding	cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]	76	370.089517168594	1.35903211821305e-40	1.81999110303604e-37
ENSG00000205336	16	+	ADGRG1	protein_coding	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	122	437.91587916558	1.8439899314847e-37	2.2636513067251e-34
ENSG00000059915	10	-	PSD	protein_coding	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	28	239.903848330724	5.09718341011486e-36	5.77589298572323e-33
ENSG00000100650	14	+	SRSF5	protein_coding	serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]	46	269.780678115753	8.12950834089082e-34	8.55398481211877e-31
ENSG00000104529	8	-	EEF1D	protein_coding	eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]	108	389.473051653088	9.78499173866266e-34	9.60951422014931e-31
ENSG00000172053	3	-	QARS	protein_coding	glutaminyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:9751]	111	393.697833632231	1.47094670067126e-33	1.35428224047427e-30
ENSG00000214050	8	-	FBXO16	protein_coding	F-box protein 16 [Source:HGNC Symbol;Acc:HGNC:13618]	25	210.324377526175	1.03609288956419e-31	8.97804962127655e-29
ENSG00000047849	3	-	MAP4	protein_coding	microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]	47	248.537864115204	1.37919452379308e-29	1.12871747388866e-26
ENSG00000102606	13	+	ARHGEF7	protein_coding	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]	45	235.718392782331	4.88613450028347e-28	3.78829722756188e-25
ENSG00000285245	9	-	AL162417.1	protein_coding	novel protein	23	184.094811615975	1.42557807006819e-27	1.05000952750873e-24
ENSG00000175203	12	-	DCTN2	protein_coding	dynactin subunit 2 [Source:HGNC Symbol;Acc:HGNC:2712]	59	256.265965564246	9.7458635399475e-27	6.83649122890317e-24
ENSG00000204843	2	-	DCTN1	protein_coding	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	73	281.774865809219	1.35633959038972e-26	9.08192659365042e-24
ENSG00000147202	X	+	DIAPH2	protein_coding	diaphanous related formin 2 [Source:HGNC Symbol;Acc:HGNC:2877]	36	203.447938590785	1.22342435859316e-25	7.8357670549721e-23
ENSG00000135930	2	+	EIF4E2	protein_coding	eukaryotic translation initiation factor 4E family member 2 [Source:HGNC Symbol;Acc:HGNC:3293]	25	177.359188622348	2.33665417862608e-25	1.43421886272253e-22
ENSG00000253873	5	+	PCDHGA11	protein_coding	protocadherin gamma subfamily A, 11 [Source:HGNC Symbol;Acc:HGNC:8698]	7	123.022147071338	3.77637602960546e-24	2.22519181168472e-21
ENSG00000167460	19	+	TPM4	protein_coding	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	50	217.070891853295	5.05651905733128e-23	2.86490700898258e-20
ENSG00000149925	16	+	ALDOA	protein_coding	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	47	208.67767002043	1.38912117400538e-22	7.5789422275086e-20
ENSG00000285505	19	-	AC010616.1	protein_coding	novel protein, ATP1A3-RABAC1 readthrough	25	158.749407131122	7.7117091522204e-22	4.05718526861995e-19
ENSG00000242419	5	+	PCDHGC4	protein_coding	protocadherin gamma subfamily C, 4 [Source:HGNC Symbol;Acc:HGNC:8717]	7	109.745516918387	2.30448094273133e-21	1.17059685404742e-18
ENSG00000128656	2	-	CHN1	protein_coding	chimerin 1 [Source:HGNC Symbol;Acc:HGNC:1943]	51	207.033082928191	5.29448284719088e-21	2.59976756073229e-18
ENSG00000196235	19	+	SUPT5H	protein_coding	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]	58	218.471394977714	9.55358341091117e-21	4.53980120084298e-18
ENSG00000013563	X	-	DNASE1L1	protein_coding	deoxyribonuclease 1 like 1 [Source:HGNC Symbol;Acc:HGNC:2957]	29	154.049161729474	2.28826750769066e-19	1.05338964549347e-16
ENSG00000264324	2	-	AC006030.1	protein_coding	novel protein	31	157.428476530509	3.18297901836082e-19	1.42086254301434e-16
ENSG00000175334	11	+	BANF1	protein_coding	barrier to autointegration factor 1 [Source:HGNC Symbol;Acc:HGNC:17397]	17	126.106721767611	3.64734623024517e-19	1.58026639169828e-16
ENSG00000163138	4	+	PACRGL	protein_coding	parkin coregulated like [Source:HGNC Symbol;Acc:HGNC:28442]	58	208.428784608571	4.03410117744696e-19	1.69789555557061e-16
ENSG00000184110	16	+	EIF3C	protein_coding	eukaryotic translation initiation factor 3 subunit C [Source:HGNC Symbol;Acc:HGNC:3279]	12	112.158402340633	6.78400344564798e-19	2.77597652105112e-16
ENSG00000180573	6	+	HIST1H2AC	protein_coding	histone cluster 1 H2A family member c [Source:HGNC Symbol;Acc:HGNC:4733]	5	89.0578763635714	2.08744664867326e-18	8.31085853556915e-16
ENSG00000167244	11	-	IGF2	protein_coding	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	15	116.365963861786	3.23031459662547e-18	1.25225695586552e-15
ENSG00000087460	20	+	GNAS	protein_coding	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	71	224.078716906586	5.07088246543163e-18	1.91536332303265e-15
ENSG00000144290	2	+	SLC4A10	protein_coding	solute carrier family 4 member 10 [Source:HGNC Symbol;Acc:HGNC:13811]	5	86.292260890962	8.06800714744249e-18	2.97124533222438e-15
ENSG00000269891	10	-	ARHGAP19-SLIT1	protein_coding	ARHGAP19-SLIT1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:48348]	13	105.526952054955	4.57011288803945e-17	1.64200812082217e-14
ENSG00000103202	16	+	NME4	protein_coding	NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]	30	142.159445084291	7.16721396973495e-17	2.5138149759087e-14
ENSG00000261717	16	-	AC009163.5	protein_coding	novel TMEM170A-CFDP1 readthrough protein	7	88.1251729381913	7.42468258466315e-17	2.54355811987611e-14
ENSG00000204120	2	+	GIGYF2	protein_coding	GRB10 interacting GYF protein 2 [Source:HGNC Symbol;Acc:HGNC:11960]	86	237.395715881653	2.4475372658563e-16	8.19424351439299e-14
ENSG00000151150	10	-	ANK3	protein_coding	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	88	240.41086635685	2.6037976814954e-16	8.52367636580195e-14
ENSG00000153187	1	-	HNRNPU	protein_coding	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	77	222.27665605829	2.91393773554309e-16	9.21283625554308e-14
ENSG00000196923	5	-	PDLIM7	protein_coding	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	39	156.11913663489	2.93940196870901e-16	9.21283625554308e-14
ENSG00000270647	17	+	TAF15	protein_coding	TATA-box binding protein associated factor 15 [Source:HGNC Symbol;Acc:HGNC:11547]	37	150.639560113032	5.68116346782685e-16	1.74352539676161e-13
ENSG00000128487	17	+	SPECC1	protein_coding	sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:30615]	39	152.163473081025	1.34851092027855e-15	4.05406415645375e-13
ENSG00000113269	5	-	RNF130	protein_coding	ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]	22	113.790716134938	9.70838789222527e-15	2.86028524080741e-12
ENSG00000100109	22	-	TFIP11	protein_coding	tuftelin interacting protein 11 [Source:HGNC Symbol;Acc:HGNC:17165]	45	154.837960600944	2.94788674472994e-14	8.51476855619937e-12
ENSG00000071054	2	+	MAP4K4	protein_coding	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	61	179.00311996917	8.98060712716742e-14	2.5441023767366e-11
ENSG00000218739	2	+	CEBPZOS	protein_coding	CEBPZ opposite strand [Source:HGNC Symbol;Acc:HGNC:49288]	13	88.4978895544152	9.63834527338141e-14	2.67891441928644e-11
ENSG00000284292	7	+	AC004922.1	protein_coding	novel protein, ARPC1A and ARPC1B readthrough	20	103.966920431382	1.01812817731525e-13	2.77741595926499e-11
ENSG00000268173	19	+	AC007192.1	protein_coding	novel protein, readthrough between PIK3R2 and IFI30	23	109.892955621729	1.15316134521506e-13	3.0885854138842e-11
ENSG00000063177	19	-	RPL18	protein_coding	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	33	128.550882595112	1.59432349678468e-13	4.193924898417e-11
ENSG00000187800	1	+	PEAR1	protein_coding	platelet endothelial aggregation receptor 1 [Source:HGNC Symbol;Acc:HGNC:33631]	14	89.3816590731977	1.834701305623e-13	4.74157630405831e-11
ENSG00000177082	15	-	WDR73	protein_coding	WD repeat domain 73 [Source:HGNC Symbol;Acc:HGNC:25928]	46	151.342607540941	1.98813054382473e-13	5.04950880018657e-11
ENSG00000260238	1	+	PMF1-BGLAP	protein_coding	PMF1-BGLAP readthrough [Source:HGNC Symbol;Acc:HGNC:42953]	13	85.5021375522948	3.64401672364394e-13	9.09830683999981e-11
ENSG00000092820	6	-	EZR	protein_coding	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	19	98.7157994258447	3.80494045186467e-13	9.34176296606975e-11
ENSG00000137100	9	-	DCTN3	protein_coding	dynactin subunit 3 [Source:HGNC Symbol;Acc:HGNC:2713]	24	108.587051520855	4.4775394472676e-13	1.08128907537212e-10
ENSG00000261915	17	-	AC026954.2	protein_coding	novel protein	20	100.145006517971	5.04132014636539e-13	1.19780140445336e-10
ENSG00000100226	22	+	GTPBP1	protein_coding	GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]	27	110.496302875352	2.1738548873449e-12	5.08302481674249e-10
ENSG00000004866	7	+	ST7	protein_coding	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	45	142.480946422866	2.55760533706588e-12	5.8868881594246e-10
ENSG00000099783	19	+	HNRNPM	protein_coding	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046]	48	147.414333915513	2.71481350499509e-12	6.15260272955118e-10
ENSG00000055118	7	-	KCNH2	protein_coding	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	26	106.726411733666	4.51271609710895e-12	1.00722455797745e-09
ENSG00000082014	7	-	SMARCD3	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	38	128.330041461523	5.25452471133821e-12	1.14555201233649e-09
ENSG00000076108	12	-	BAZ2A	protein_coding	bromodomain adjacent to zinc finger domain 2A [Source:HGNC Symbol;Acc:HGNC:962]	70	181.10497510639	5.28800060001908e-12	1.14555201233649e-09
ENSG00000260729	15	-	AC009690.1	protein_coding	novel protein	7	63.6159880211766	8.26601853059073e-12	1.76473505759612e-09
ENSG00000149179	11	+	C11orf49	protein_coding	chromosome 11 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28720]	38	126.927711929126	8.77492041456078e-12	1.84661932324135e-09
ENSG00000070831	1	+	CDC42	protein_coding	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	22	97.1168553154006	9.30098375499395e-12	1.92975762950445e-09
ENSG00000142192	21	-	APP	protein_coding	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	41	131.946640717859	9.44168304263839e-12	1.93174212362647e-09
ENSG00000255730	19	+	AC011462.1	protein_coding	novel protein	11	72.4229372561565	1.50661375304893e-11	3.04026399947449e-09
ENSG00000163001	2	+	CFAP36	protein_coding	cilia and flagella associated protein 36 [Source:HGNC Symbol;Acc:HGNC:30540]	20	91.7294067281456	1.63570302637096e-11	3.22244822596102e-09
ENSG00000148120	9	+	AOPEP	protein_coding	aminopeptidase O (putative) [Source:HGNC Symbol;Acc:HGNC:1361]	29	109.060518372987	1.64064637123805e-11	3.22244822596102e-09
ENSG00000285238	12	-	AC006064.6	protein_coding	novel transcript	57	155.478474255489	2.68902143171894e-11	5.21210193561207e-09
ENSG00000269743	X	-	SLC25A53	protein_coding	solute carrier family 25 member 53 [Source:HGNC Symbol;Acc:HGNC:31894]	2	44.2773119512729	2.85000227438589e-11	5.45238746804916e-09
ENSG00000011243	19	-	AKAP8L	protein_coding	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	45	135.547384998141	2.93319716360565e-11	5.53960607911215e-09
ENSG00000257379	12	+	AC023509.1	lncRNA	novel transcript	13	75.3482267232935	3.15727966639734e-11	5.85384314015279e-09
ENSG00000018189	4	+	RUFY3	protein_coding	RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30285]	42	130.251182667652	3.17906083234148e-11	5.85384314015279e-09
ENSG00000265817	8	-	FSBP	protein_coding	fibrinogen silencer binding protein [Source:HGNC Symbol;Acc:HGNC:43653]	9	64.9926077969694	4.84235539653593e-11	8.80651078350256e-09
ENSG00000104205	8	+	SGK3	protein_coding	serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]	26	100.341156917164	5.49638571372623e-11	9.87405584742696e-09
ENSG00000115053	2	-	NCL	protein_coding	nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]	27	101.916443476898	6.14837612426346e-11	1.0912256468256e-08
ENSG00000133030	17	+	MPRIP	protein_coding	myosin phosphatase Rho interacting protein [Source:HGNC Symbol;Acc:HGNC:30321]	51	142.44320985623	8.18302467118885e-11	1.43504924322956e-08
ENSG00000140481	15	+	CCDC33	protein_coding	coiled-coil domain containing 33 [Source:HGNC Symbol;Acc:HGNC:26552]	10	66.1988066936945	8.42870319384115e-11	1.44979069236926e-08
ENSG00000162585	1	-	FAAP20	protein_coding	FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]	24	95.4609371449059	8.46391959430838e-11	1.44979069236926e-08
ENSG00000117682	1	+	DHDDS	protein_coding	dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:20603]	46	134.084727033539	8.6498372755931e-11	1.46460635525014e-08
ENSG00000153310	8	-	FAM49B	protein_coding	family with sequence similarity 49 member B [Source:HGNC Symbol;Acc:HGNC:25216]	55	148.070089479101	1.0715988501001e-10	1.79383212054825e-08
ENSG00000124222	20	+	STX16	protein_coding	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	45	131.736991730391	1.09662320433408e-10	1.81509622730846e-08
ENSG00000111846	6	+	GCNT2	protein_coding	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	22	90.6353133762295	1.25361511613884e-10	2.05188936398235e-08
ENSG00000163539	3	-	CLASP2	protein_coding	cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:HGNC:17078]	76	179.836112523677	1.35605344983866e-10	2.17929320802178e-08
ENSG00000109445	4	+	ZNF330	protein_coding	zinc finger protein 330 [Source:HGNC Symbol;Acc:HGNC:15462]	23	92.34864955389	1.36110078708848e-10	2.17929320802178e-08
ENSG00000163682	4	-	RPL9	protein_coding	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	38	119.300468040791	1.3758350984049e-10	2.17929320802178e-08
ENSG00000108395	17	-	TRIM37	protein_coding	tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523]	48	135.33837751647	1.72678503400431e-10	2.7060925889274e-08
ENSG00000205220	16	-	PSMB10	protein_coding	proteasome subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	16	77.3225511807075	2.14875609454132e-10	3.33192905565139e-08
ENSG00000008988	8	-	RPS20	protein_coding	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	25	94.8845263963455	2.20778200854054e-10	3.38779549664694e-08
ENSG00000124193	20	+	SRSF6	protein_coding	serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]	13	70.7947391621139	2.27374896911222e-10	3.45305114061775e-08
ENSG00000161681	19	-	SHANK1	protein_coding	SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474]	15	74.9391478346009	2.42801937834576e-10	3.64970953698076e-08
ENSG00000260836	15	-	AC245033.1	protein_coding	novel protein	7	56.1467974759129	2.71864779727601e-10	4.04529300016898e-08
ENSG00000136717	2	-	BIN1	protein_coding	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]	27	97.9727321085857	2.78316829206512e-10	4.09988521104113e-08
ENSG00000162144	11	-	CYB561A3	protein_coding	cytochrome b561 family member A3 [Source:HGNC Symbol;Acc:HGNC:23014]	45	128.60633649857	3.20033591745415e-10	4.66773746534823e-08
ENSG00000131149	16	+	GSE1	protein_coding	Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]	35	111.426488301135	3.64481555351649e-10	5.26389979596582e-08
ENSG00000162191	11	-	UBXN1	protein_coding	UBX domain protein 1 [Source:HGNC Symbol;Acc:HGNC:18402]	49	134.086902342701	4.51617534357703e-10	6.45900766856633e-08
ENSG00000224078	15	+	SNHG14	lncRNA	small nucleolar RNA host gene 14 [Source:HGNC Symbol;Acc:HGNC:37462]	193	337.292735767426	4.56275475411425e-10	6.46287887335164e-08
ENSG00000226752	9	+	CUTALP	transcribed_unitary_pseudogene	cutA divalent cation tolerance homolog-like, pseudogene [Source:HGNC Symbol;Acc:HGNC:27367]	7	54.6407738521794	5.47792688274436e-10	7.68527056282926e-08
ENSG00000145555	5	-	MYO10	protein_coding	myosin X [Source:HGNC Symbol;Acc:HGNC:7593]	55	142.867324019691	5.80809590123231e-10	8.07160950198614e-08
ENSG00000186468	5	-	RPS23	protein_coding	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	22	86.4253625824391	6.6280719283084e-10	9.12505865195431e-08
ENSG00000145362	4	+	ANK2	protein_coding	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	105	216.406937681388	6.82308066470827e-10	9.30655567331643e-08
ENSG00000100316	22	-	RPL3	protein_coding	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	35	109.1807851126	8.15136617833532e-10	1.10163096489044e-07
ENSG00000187391	7	-	MAGI2	protein_coding	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]	40	117.425820408921	8.70487879428074e-10	1.16574154107772e-07
ENSG00000272414	4	+	FAM47E-STBD1	protein_coding	FAM47E-STBD1 readthrough [Source:HGNC Symbol;Acc:HGNC:44667]	9	58.3551963733466	9.78797125521453e-10	1.29897841946455e-07
ENSG00000276547	5	+	PCDHGB5	protein_coding	protocadherin gamma subfamily B, 5 [Source:HGNC Symbol;Acc:HGNC:8712]	5	47.7284678165771	1.07515228316731e-09	1.41411323958371e-07
ENSG00000054523	1	+	KIF1B	protein_coding	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	63	152.881950942783	1.22753263961229e-09	1.60024631098483e-07
ENSG00000133226	1	+	SRRM1	protein_coding	serine and arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638]	62	151.180729410046	1.29489364150590e-09	1.67325247658099e-07
ENSG00000274290	6	+	HIST1H2BE	protein_coding	histone cluster 1 H2B family member e [Source:HGNC Symbol;Acc:HGNC:4753]	4	43.5071617408924	1.92052093295977e-09	2.46010381421134e-07
ENSG00000154380	1	-	ENAH	protein_coding	ENAH actin regulator [Source:HGNC Symbol;Acc:HGNC:18271]	29	96.2845785427232	2.00954425227085e-09	2.5519479638105e-07
ENSG00000137312	6	-	FLOT1	protein_coding	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	32	101.270310811335	2.19384068233373e-09	2.76217667448361e-07
ENSG00000167085	17	-	PHB	protein_coding	prohibitin [Source:HGNC Symbol;Acc:HGNC:8912]	31	99.2576098936918	2.43133747343798e-09	3.03525697637415e-07
ENSG00000115310	2	-	RTN4	protein_coding	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	23	84.8867250303676	2.50198669297323e-09	3.09720722472173e-07
ENSG00000254560	11	-	BBOX1-AS1	lncRNA	BBOX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50700]	5	45.8575831347661	2.63677524274957e-09	3.23686134174533e-07
ENSG00000122566	7	-	HNRNPA2B1	protein_coding	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]	28	93.6294855286962	2.7919058358157e-09	3.398972303091e-07
ENSG00000123106	12	+	CCDC91	protein_coding	coiled-coil domain containing 91 [Source:HGNC Symbol;Acc:HGNC:24855]	22	82.6657409150343	2.8806542127684e-09	3.47827190231896e-07
ENSG00000144591	2	+	GMPPA	protein_coding	GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]	36	107.092397562122	3.10243572595421e-09	3.71560818528711e-07
ENSG00000090565	16	+	RAB11FIP3	protein_coding	RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]	30	96.7468507496914	3.22155439885362e-09	3.82715466528328e-07
ENSG00000116062	2	+	MSH6	protein_coding	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]	32	100.04884405917	3.40417985918429e-09	4.0117578804515e-07
ENSG00000255508	11	-	AP002990.1	protein_coding	novel protein	20	78.4436665755204	3.44365084587314e-09	4.026065127822e-07
ENSG00000270299	20	-	AL121758.1	protein_coding	novel protein	2	34.8356527098776	3.58743470082028e-09	4.16114177777823e-07
ENSG00000134046	18	-	MBD2	protein_coding	methyl-CpG binding domain protein 2 [Source:HGNC Symbol;Acc:HGNC:6917]	14	66.0973677877993	4.16316750446752e-09	4.7662131929563e-07
ENSG00000099797	19	+	TECR	protein_coding	trans-2,3-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:4551]	59	142.803564023797	4.17379337377885e-09	4.7662131929563e-07
ENSG00000204472	6	+	AIF1	protein_coding	allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]	13	63.9321724687173	4.29235698453646e-09	4.86390082609282e-07
ENSG00000272822	12	-	AC073610.2	protein_coding	novel protein	8	52.656148534626	4.33422033413454e-09	4.87384730856e-07
ENSG00000152684	5	+	PELO	protein_coding	pelota mRNA surveillance and ribosome rescue factor [Source:HGNC Symbol;Acc:HGNC:8829]	5	44.5595595826011	4.90900468442476e-09	5.4576019650952e-07
ENSG00000104267	8	+	CA2	protein_coding	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	15	67.7454156987617	4.92743915116192e-09	5.4576019650952e-07
ENSG00000169136	19	+	ATF5	protein_coding	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	10	56.9059116829469	5.26750929842638e-09	5.79072234888948e-07
ENSG00000100106	22	+	TRIOBP	protein_coding	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]	31	97.0015999491155	5.49097638907693e-09	5.99167208796239e-07
ENSG00000179218	19	+	CALR	protein_coding	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	21	78.8559110986225	6.13443423856676e-09	6.64458461531816e-07
ENSG00000282278	4	+	AC058822.1	protein_coding	novel FIP1L1-PDGFRA fusion protein	24	84.2731808854156	6.36765490002953e-09	6.84685579068139e-07
ENSG00000049769	X	+	PPP1R3F	protein_coding	protein phosphatase 1 regulatory subunit 3F [Source:HGNC Symbol;Acc:HGNC:14944]	16	68.8943380040733	7.02494912020848e-09	7.49887865868051e-07
ENSG00000165688	9	+	PMPCA	protein_coding	peptidase, mitochondrial processing alpha subunit [Source:HGNC Symbol;Acc:HGNC:18667]	32	97.9198708028592	7.28553204349372e-09	7.72109154911554e-07
ENSG00000182985	11	-	CADM1	protein_coding	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	39	109.486896312797	7.52778082081739e-09	7.92083851939007e-07
ENSG00000171992	5	+	SYNPO	protein_coding	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	9	53.6392664336017	8.10969696821444e-09	8.47262028643736e-07
ENSG00000203930	X	+	LINC00632	lncRNA	long intergenic non-protein coding RNA 632 [Source:HGNC Symbol;Acc:HGNC:27865]	23	81.3218262710231	9.80710406516203e-09	1.01738345059086e-06
ENSG00000116560	1	-	SFPQ	protein_coding	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]	26	86.27041830768	1.150882293197e-08	1.1855697245514e-06
ENSG00000105202	19	-	FBL	protein_coding	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]	31	94.8921605577566	1.16863066120767e-08	1.19549293543404e-06
ENSG00000177981	12	-	ASB8	protein_coding	ankyrin repeat and SOCS box containing 8 [Source:HGNC Symbol;Acc:HGNC:17183]	33	97.9292972222179	1.31923343620378e-08	1.34025018956675e-06
ENSG00000160799	3	-	CCDC12	protein_coding	coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28332]	22	78.4847552179518	1.44440363276941e-08	1.45736369276207e-06
ENSG00000221926	17	-	TRIM16	protein_coding	tripartite motif containing 16 [Source:HGNC Symbol;Acc:HGNC:17241]	55	132.560549603859	1.49655068846697e-08	1.49970667971475e-06
ENSG00000172403	4	+	SYNPO2	protein_coding	synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]	8	49.8263652141687	1.56240696658908e-08	1.55512277194755e-06
ENSG00000164576	5	+	SAP30L	protein_coding	SAP30 like [Source:HGNC Symbol;Acc:HGNC:25663]	19	72.6671234012621	1.5904367585698e-08	1.57160800323938e-06
